id;quote;author
564;What goes on in Europe concerns us greatly because, if Europe comes apart, the E.U. comes apart, then you're going to have enormous impact on America, that's a very big trading partner of ours, and people own securities around the world in this day and age.;Michael Bloomberg
565;Your body actually reminds you about your age and your injuries - the body has a stronger memory than your mind.;Mikhail Baryshnikov
566;People dance at any age.;Mikhail Baryshnikov
567;I never had little brothers, so I was totally not used to hearing a lot of cussing at a young age! I learned what 'pull my finger' meant the hard way.;Danica McKellar
568;My sister and I shared a bedroom our entire lives and I believe she discovered the Beatles when she was about 11 and I'm four years younger. So from the age of 7 until 17 we had nothing but Beatles paraphernalia in our room, even those little stuffed Beatles that went on stands that are dressed as the Sgt. Pepper band.;Christina Ricci
569;But look, I was born in 1956, the peak year for births in US history. I think I'm very representative of many of the thought processes my generation have been through and, by and large, people of my age have had their imprint planted on the consciousness of western society for a long time.;Tom Hanks
570;I basically get stereotyped a lot in terms of being a girl and writing 'chick' music for teenage girls or something. I think, if anything, the press kind of, because of my gender and my age, tends to kind of relegate my work to this sort of special-interest group. It's part of the cultural dynamic, I guess.;Ani DiFranco
571;What is amazing for a woman of my age is that I change as the world is changing-and changing very, very fast. I don't think my mother had that opportunity to change.;Jeanne Moreau
572;I've never worried about age.;Jeanne Moreau
573;To me age is a number, just a number. Who cares?;Jeanne Moreau
574;If you're extremely, painfully frightened of age, it shows.;Jeanne Moreau
575;For a man who has compared himself to Theodore Roosevelt and the nation's challenges to those of the Gilded Age, Obama put forward a tepid agenda.;Ron Fournier
576;I wrote a screenplay for a 'Sweet Valley High' adaptation, and it's really amazing to me how many women who are my age have responded to the idea and are excited about the movie.;Diablo Cody
577;Let age, not envy, draw wrinkles on thy cheeks.;Thomas Browne
578;Here's my Golden Rule for a tarnished age: Be fair with others, but keep after them until they're fair with you.;Alan Alda
579;Children under five are the poorest age group in America, and one in four infants, toddlers and preschoolers are poor during the years of greatest brain development.;Marian Wright Edelman
580;Everyone talks about age, but it's not about age. It's about work ethic. Winning never gets old.;Lisa Leslie
581;Age is a terrible avenger. The lessons of life give you so much to work with, but by the time you've got all this great wisdom, you don't get to be young anymore.;Elizabeth Wurtzel
582;Science cannot tell theology how to construct a doctrine of creation, but you can't construct a doctrine of creation without taking account of the age of the universe and the evolutionary character of cosmic history.;John Polkinghorne
583;I came of age believing that, no matter what happened, I would always be able to support myself.;William J. Clinton
584;'Dallas' hit a chord back in the late Seventies and Eighties because it was the age of greed: here you have this unapologetic character who is mean and nasty and ruthless and does it all with an evil grin. I think people related to JR back then because we all have someone we know exactly like him. Everyone in the world knows a JR.;Larry Hagman
585;I've never been more in love with anyone nearly half my age than I am today. I'd get married in a minute if I weren't still married to somebody else.;Rod Stewart
586;At my age you don't go into fatherhood lightly.;Rod Stewart
587;I didn't know a time when there wasn't a war because I spent all my time from the age of two or three to eight in a coal cellar really.;David Bailey
588;My best friend just had a baby, and she's my age. So I'm a godmom now, which is crazy.;Kristen Stewart
589;I think I'm a bit less inhibited, and not thinking too much before speaking. It's not about being shameful, I'm just a bit more unabashedly myself because of this thing, and it probably started at age 15. I can be around people and say what I think without fear.;Kristen Stewart
590;At a certain age, death becomes familiar to you-or a loss becomes familiar-the tragedies that are more commonplace in life.;Jessica Lange
591;TV is sort of the only way to go for an actress my age to make a decent salary with independent films, you just can't.;Jessica Lange
592;Memory in youth is active and easily impressible in old age it is comparatively callous to new impressions, but still retains vividly those of earlier years.;Charlotte Bronte
593;At its best our age is an age of searchers and discoverers, and at its worst, an age that has domesticated despair and learned to live with it happily.;Flannery O'Connor
594;Study after study confirms that even when you control for variables like profession, education, hours worked, age, marital status, and children, men still are compensated substantially more - even in professions, like nursing, dominated by women. No wonder there's a gender gap.;Dee Dee Myers
595;I learned from a very young age that if I pursued the things that truly excited me, that they would reward in more important ways, like happiness.;Brandon Boyd
596;I always wanted to be a designer. I read books on fashion from the age of 12.;Alexander McQueen
597;When I was a little kid I used to play with guys twice my age, so, I was the last one picked, so if I picked I knew that I had to get the ball to the scorer if I wanted to stay on the court, so that was pretty much my job.;Jason Kidd
598;We have become a society that can't self-correct, that can't address its obvious problems, that can't pull out of its nosedive. And so to our list of disasters let us add this fourth entry: we have entered an age of folly that - for all our Facebooking and the twittling tweedle-dee-tweets of the twitterati - we can't wake up from.;Thomas Frank
599;The divine right of husbands, like the divine right of kings, may, it is hoped, in this enlightened age, be contested without danger.;Mary Wollstonecraft
600;In every age there has been a stream of popular opinion that has carried all before it, and given a family character, as it were, to the century.;Mary Wollstonecraft
601;Look, demanding somebody do anything in this day and age is not going to fly.;John Mayer
602;I was very successful from a very early age, and I want to keep it.;John Mayer
603;When you get to a certain age, there is no coming back.;Brian Clough
604;Most of the basic material a writer works with is acquired before the age of fifteen.;Willa Cather
605;I would always encourage people of any age not to be so quick to follow other people's truths but to search and follow your own moral code and live by your own integrity, and mostly just be brave.;Jewel
606;I don't believe in happy endings, but I do believe in happy travels, because ultimately, you die at a very young age, or you live long enough to watch your friends die. It's a mean thing, life.;George Clooney
607;Even truth needs to be clad in new garments if it is to appeal to a new age.;Georg C. Lichtenberg
608;You can have a spiritual awakening and discover a new side of you at any age. And best of all, love can happen at any age. Life can just start to get exciting when you're in your 40s and 50s. You have to believe that.;Salma Hayek
609;America doesn't reward people of my age, either in day-to-day life or for their performances.;Meryl Streep
610;I really think we should pass a law in every state, I don't care whether it takes the independence away from an old person or not. You shouldn't be driving a car if you're over the age of 80. Maybe even less than that.;Evel Knievel
611;I think I'm past the age of getting lost.;Amanda Seyfried
612;I conceived in art college at the age of 20, near the end of term.;Joni Mitchell
613;I've been screaming at the top of my lungs at my family, 'Work out! Work out! Old age is coming!';Cher
614;It is not classified as a pagan religion. The so-called New Age activities and this are not called religions and therefore don't come under the prohibition of mingling church and state that we have in this country.;Dixie Lee Ray
615;No sex, age, or condition is above or below the absolute necessity of modesty but without it one vastly beneath the rank of man.;Bruce Barton
616;People tend to become more emotionally intelligent as they age and mature.;Daniel Goleman
617;With age, you get to a place where you don't want to knock people out. You just want to give people a hug.;Vin Diesel
618;Age is no barrier. It's a limitation you put on your mind.;Jackie Joyner-Kersee
619;Whoever, fleeing marriage and the sorrows that women cause, does not wish to wed comes to a deadly old age.;Hesiod
620;Age has been the perfect fire extinguisher for flaming youth.;Navjot Singh Sidhu
621;I prefer younger men. In some ways, they are much more open to a woman being stronger and independent then some of the men my age.;Kim Cattrall
622;You have to be desirable. And that's why so many woman of my age or even younger are pushed to Botox and plastic surgery, all the things that people say, 'Why do women do this?' Where do you go in your 50s in your career?;Kim Cattrall
623;It is my art. I am better at it than I ever was. And I will do it as long as I can. When you reach a certain age you can slough off what is unnecessary and concentrate on what is. And why not?;Arthur Miller
624;I feel like a lot of the female relationships I see on TV or in movies are in some way free of the kind of jealousy and anxiety and posturing that has been such a huge part of my female friendships, which I hope lessens a little bit with age.;Lena Dunham
625;At my age, no one is married, no one has kids, no one has a career.;Lena Dunham
626;One of the many pleasures of old age is giving things up.;Malcolm Muggeridge
627;There's also some element of coming of age during the Reagan administration, which everybody has painted as some glorious time in America, but I remember as being a very, very dark time. There was apocalypse in the air the punk rock movement made sense.;John Cusack
628;If you explode onto the scene at a very young age, there are so many people pulling you in different directions. It takes time to recalibrate and see what's important.;Clive Owen
629;Situational unawareness in the private marketplace or on the battlefield will cost you your livelihood or your life. In the Age of Obama, however, such willful ignorance is a job prerequisite. The less you know the better.;Michelle Malkin
630;We virtually never feel our age, but thinking that we should can lead to disaster.;Martha Beck
631;We grew up in a very creative environment and were exposed to the arts at a very young age, so it's not a surprise that all of us are in some form of the arts.;Spike Lee
632;I want to be part of the resurgence of things that are tangible, beautiful and soulful, rather than just give in to the digital age. But when I talk to people about this they just say, 'Yeah, I know what you mean,' and stare at their mobiles.;Jack White
633;I wanted to do two things when I was growing up, about your age. I wanted to play in the NBA, and I wanted to be a businessman after my basketball career was over, and that is what I am doing now.;Magic Johnson
634;The idea of regretting not doing this seemed insane to me. Sitting in the corner at a bar at age 60, saying: 'I could've been Bond. Buy me a drink.' That's the saddest place I could be. At least now at 60 I can say: 'I was Bond. Now buy me a drink.';Daniel Craig
635;There's a vintage which comes with age and experience.;Jon Bon Jovi
636;It's not the normal way to look at things but I experienced death at a really young age and because of that it's been part of my mental landscape that death is really very possible.;Cate Blanchett
637;I've an enormous respect for my mother who at the age of 39 raised three children, and I grew up with my grandmother in the household. And so it was a really strong household of women - my poor brother! It was great growing up with so many generations of women.;Cate Blanchett
638;Every age develops its own peculiar forms of pathology, which express in exaggerated form its underlying character structure.;Christopher Lasch
639;I love my kids, and the moments I have with them, and it's kind of weird, it's such an age old cliche, but the way that my sons, the way they make me feel when I look at them, the way they say things, no one else would probably react to them, but it's a special thing for me.;Michael Rapaport
640;There's a very small group of elite actresses who are my age, who people want to work with. It's not easy to get a good job with good actors.;Amanda Peet
641;A final word: I am not knowledgeable about the internet. I do not have a computer. I guess that at 74 years of age, I don't have the patience to learn.;David Wilkerson
642;It lies in human nature that where you experience your first laughs, you also remember the age kindly.;Vaclav Havel
643;We tried not to age, but time had its rage.;Patti Smith
644;Michelle Pfeiffer hasn't been finding a lot of work recently because she doesn't like what a woman her age is offered. That's a real double standard. You get Sean Connery, who gets older and older, still playing opposite young ladies, but it doesn't work the other way around.;Denzel Washington
645;Old age and treachery will always beat youth and exuberance.;David Mamet
646;My wife and I, unlike many intellectuals, spent five years working on assembly lines. We came to fully understand the criticisms of the industrial age, in which you are an appendage of a machine that sets the pace.;Alvin Toffler
647;Even one voice can be heard loudly all over the world in this day and age.;Aung San Suu Kyi
648;At this age, I should be leading a quiet life.;Aung San Suu Kyi
649;Any new financial order for the world must tackle the three chief challenges of our age.;James Buchan
650;There are signs that the age of petroleum has passed its zenith. Adjusted for inflation, a barrel of crude oil now sells for three times its long-run average. The large western oil companies, which cartellised the industry for much of the 20th century, are now selling more oil than they find, and are thus in the throes of liquidation.;James Buchan
651;With the song 'This Christmas' I wanted to do something that was kind of different. I mean, Donny Hathaway is an amazing artist. So I wanted to bring my flavor to the song so when people over the age of 45 or 50 hear it they'll be like 'OK, he did his thing with that record.' It's like I can appeal to everybody and not just a younger demographic.;Chris Brown
652;In an age when the fashion is to be in love with yourself, confessing to be in love with somebody else is an admission of unfaithfulness to one's beloved.;Russell Baker
653;Rereading A.J. Liebling carries me happily back to an age when all good journalists knew they had plenty to be modest about, and were.;Russell Baker
654;Reason is a crutch for age, but youth is strong enough to walk alone.;John Dryden
655;What's a man's age? He must hurry more, that's all Cram in a day, what his youth took a year to hold.;Robert Browning
656;What Youth deemed crystal, Age finds out was dew.;Robert Browning
657;A face to lose youth for, to occupy age With the dream of, meet death with.;Robert Browning
658;I believe the true function of age is memory. I'm recording as fast as I can.;Rita Mae Brown
659;So Harry Potter came in and it is nice that I have kids of the right age. I took them to London and they walked around the set and met Harry Potter and that is thrilling.;Gary Oldman
660;All we can do when we think of kids today is think of more hours of school, earlier age at the computer, and curfews. Who would want to grow up in that world?;James Hillman
661;The reason for the sadness of this modern age and the men who live in it is that it looks for the truth in everything and finds it.;Edmond de Goncourt
662;No, but way before that, I've been doing little dances in movies for years. Yeah, that was an amazing chance. You know, at my age to be able to do a music dance video, very unusual.;Christopher Walken
663;There probably aren't a lot of actors my age who tap dance.;Christopher Walken
664;I started auditioning when I was about 10 and I didn't get my first job until I was 12, and two years at that age is really hard.;Anna Kendrick
665;I remember being in Hollywood at the age of 16 and marveling at the stars. The idea of being part of it never entered my mind. It was too far-fetched.;Bryan Adams
666;The older generation had greater respect for land than science. But we live in an age when science, more than soil, has become the provider of growth and abundance. Living just on the land creates loneliness in an age of globality.;Shimon Peres
667;One of my grandfathers, actually, having gone out there as a minister, decided he would better serve the people as a doctor. So at a very late age - at the age of 38 in fact - he changed course and decided to become a doctor.;Colin Firth
668;I'm totally into new age and self-help books. I used to work in a bookstore and that's the section they gave me, and I got way into it. I just loved the power of positive thinking, letting yourself go.;Jason Mraz
669;It's the kind of clothes that mothers and daughters can wear, in terms of concept... It's not about age. It's about taste, and it's about lifestyle. I believe women of all ages can wear anything.;Ralph Lauren
670;The reason for the slow progress of the world seems to lie in a single fact. Every man is born under the yoke, and grows up beneath the oppressions of his age.;John Jay Chapman
671;A newspaper is lumber made malleable. It is ink made into words and pictures. It is conceived, born, grows up and dies of old age in a day.;Jim Bishop
672;Just as we reject racism, sexism, ageism, and heterosexism, we reject speciesism. The species of a sentient being is no more reason to deny the protection of this basic right than race, sex, age, or sexual orientation is a reason to deny membership in the human moral community to other humans.;Gary L. Francione
673;I am a grandmother now, and that means age is creeping on, creeping on.;Lillie Langtry
674;I love things that age well - things that don't date, that stand the test of time and that become living examples of the absolute best.;Giorgio Armani
675;Many women my age have known the experience of giving up crucial parts of themselves to please the man they love.;Joyce Maynard
676;American Idol transcends age, gender, ethnicity, everything.;Carrie Underwood
677;You get to a certain age and you can't judge yourself on your dad or your parents.;Ellie Goulding
678;I'd like to look like Madonna when I'm her age. I also look at athletes and love their bodies. I've always wanted to be muscly, not skinny. A lot of women yo-yo around, but I'm always aware if I'm getting a bit out of shape. I never look at the scales but I can just tell. It goes on my tum and bum.;Ellie Goulding
679;I could always sing, from a really young age, but my voice was really weird. I used to make my mum turn up the radio every day in our house. She was well into music so I got that from her.;Ellie Goulding
680;I think women get caught up too much in having a plan - 'I'm going to get married at this age I'm going to have a kid at this age' - and then they just try to find a guy who will fit into that picture. I don't want my life to be based on that.;Julia Stiles
681;I was always concerned with writing to my age at a particular moment. That was the way I would keep faith with the audience that supported me as I went along.;Bruce Springsteen
682;Experts tell us that 90% of all brain development occurs by the age of five. If we don't begin thinking about education in the early years, our children are at risk of falling behind by the time they start Kindergarten.;Robert. L. Ehrlich
683;When I was seventeen, I worked as a counsellor at a co-ed sleep-away camp for eight weeks. I loved it but it could be harrowing - it was far too much responsibility for someone my age.;Harlan Coben
684;Music has always been my protection against the world, from a very young age. I feel safe inside of a jam.;Trey Anastasio
685;We are the children of a technological age. We have found streamlined ways of doing much of our routine work. Printing is no longer the only way of reproducing books. Reading them, however, has not changed.;Lawrence Clark Powell
686;Religion is the best antidote to the individualism of the consumer age. The idea that society can do without it flies in the face of history and, now, evolutionary biology.;Jonathan Sacks
687;Religiosity turns out to be the best indicator of civic involvement: it's more accurate than education, age, income, gender or race.;Jonathan Sacks
688;The year I was born, 1956, was the peak year for babies being born, and there are more people essentially our age than anybody else. We could crush these new generations if we decided too.;Tom Hanks
689;Adulthood is the ever-shrinking period between childhood and old age. It is the apparent aim of modern industrial societies to reduce this period to a minimum.;Thomas Szasz
690;I was born at the age of twelve on a Metro-Goldwyn-Mayer lot.;Edward Koch
691;We live in an age of instant knowledge. And there's almost a sense of entitlement to that.;J. J. Abrams
692;It's the golden age of French cinema again but it's because Sarkozy had the guts to push through copyright law.;Harvey Weinstein
693;I started in the restaurant business at the age of 19 as a waitress. I loved the atmosphere and the camaraderie of the restaurant business. I loved not having to go to an office. I loved making people happy.;Anne Burrell
694;My view is pensioners don't have the one option that people of working age have. They can't really increase their income, because they are no longer able to work.;Iain Duncan Smith
695;Work is transformative. It gives you a greater chance of a greater income. You can affect your life while you're of working age, so you have scope and opportunity. Pensioners do not.;Iain Duncan Smith
696;I think you can't really escape any kind of spiritual education as a child, whether it's New Age or Judaism or Buddhism or whatever it is. You can't escape it, even if you completely disagree with it, you still have it as a foundation that you base things off of.;Jack White
697;At my age the only problem is with remembering names. When I call everyone darling, it has damn all to do with passionately adoring them, but I know I'm safe calling them that. Although, of course, I adore them too.;Richard Attenborough
698;What I really tried to do with Helen was make her show this sad side of her. She was married off at 16, was so young and living in this castle that can't leave because of how she looks, and married to a man she hates and three times her age.;Diane Kruger
699;I never took guitar lessons. I took classical piano lessons from the age of six when we lived in Holland. And when we moved to America, it was just the typical thing except I was really good at it so was my brother.;Eddie Van Halen
700;I never took guitar lessons. I took classical piano lessons from the age of six when we lived in Holland.;Eddie Van Halen
701;When I write about a 15-year old, I jump, I return to the days when I was that age. It's like a time machine. I can remember everything. I can feel the wind. I can smell the air. Very actually. Very vividly.;Haruki Murakami
702;We live in an age, in an era where there is so much negativity, there is so much violence in the world, there is so much unrest and people are at war, that I wanted to promote the word love and red signifies love.;Elton John
703;I'm 20 years old. I like to party as much as anyone my age. Going clubbing is my way of relaxing or releasing a lot of stress. I don't feel that I should have to justify that part of my life. I don't know that I'm necessarily an addict.;Lindsay Lohan
704;I am happy being able to play roles with people my age because once you do something really mature there is no turning back.;Lindsay Lohan
705;Compared to a lot of actresses my age, I'm actually overweight.;Lindsay Lohan
706;This is what I asked for, and in this day and age that's what actually goes on. But what hurts me the most is that I work just as hard as any other actress around my age, like Scarlett Johansson, but I just don't get the opportunities that they get because people are so distracted by the mess that I created in my life.;Lindsay Lohan
707;At a young age, I was interested in comic books, which was really how I learnt to read. The name Cage came from a comic book character called Power Man.;Nicolas Cage
708;There is a certain age at which a child looks at you in all earnestness and delivers a long, pleased speech in all the true inflections of spoken English, but with not one recognizable syllable.;Annie Dillard
709;I can't wait to be that age and hanging out with a bunch of people hanging out all day playing golf and going to the beach, all my own age. We'd be laughing and having a good time and getting loopy on our prescription drugs. Driving golf carts around. I can't wait.;Cameron Diaz
710;I would love a family. I'm at the age where the wish for a child gets stronger. But who knows.;Cameron Diaz
711;I love physical kinds of comedy and getting down and dirty and doing stunts. When I was growing up, I was always getting into fights with guys and usually punching out boys my age because I was a lot bigger and tougher. So I'm naturally accustomed to putting myself into the headspace of a girl who can take care of herself.;Cameron Diaz
712;Love, with very young people, is a heartless business. We drink at that age from thirst, or to get drunk it is only later in life that we occupy ourselves with the individuality of our wine.;Isak Dinesen
713;Age for me is just a number.;Haile Gebrselassie
714;You hit a certain age and - especially because of TV - the young cooks coming up say, 'You're a sellout, because you're doing something other than what you should be doing.' 'Top Chef' is a double-edged sword for me: There's a whole group of people who will not come to the restaurants because they assume I'm not in them anymore, all I do is TV.;Tom Colicchio
715;Some of your teachers are actually closer in age to you than you think.;Maya Lin
716;From an early age I didn't buy into the value systems of working hard in a nine-to-five job. I thought creativity, friendship and loyalty and pushing the boundaries of what was acceptable was much more interesting.;Adam Clayton
717;I didn't have any success in show business until I was 30 to 31 years of age.;Adam Carolla
718;I hate the idea that you shouldn't wear something just because you're a certain age.;Miuccia Prada
719;I am firmly of the opinion that women who make a lot of effort to hang onto their looks in middle age (unless they are beauties, entertainers or prostitutes) are rather sad, as one should surely have something more substantial to recommend one by this time, such as kindness or cleverness.;Julie Burchill
720;As a precocious teen I dreamed of being Graham Greene. Well, as it turned out, I never wrote a great novel, sadly, and I never converted to Catholicism, happily, but I did do one thing he did. That is, in middle age I moved to a seaside town and got into a right barney with the local powers-that-be.;Julie Burchill
721;Age should not have its face lifted, but it should rather teach the world to admire wrinkles as the etchings of experience and the firm line of character.;Clarence Day
722;Age is only a number, a cipher for the records. A man can't retire his experience. He must use it. Experience achieves more with less energy and time.;Bernard Baruch
723;To me, old age is always fifteen years older than I am.;Bernard Baruch
724;I wear clothes that most people in the Midwest would probably deem inappropriate at my age. And I rock a bikini all summer long. I know that it's not normal, but I just don't care. I live once.;Liz Phair
725;I've lost touch with a lot of that boutique-type music just because of my age, and raising my son and the multiple jobs I have at this point.;Liz Phair
726;There's no way to approach anything in an objective way. We're completely subjective our view of the world is completely controlled by who we are as human beings, as men or women, by our age, our history, our profession, by the state of the world.;Charlie Kaufman
727;Age is not measured by years. Nature does not equally distribute energy. Some people are born old and tired while others are going strong at seventy.;Dorothy Thompson
728;Maybe it is something to do with age, but I have become fonder of poetry than of prose.;Aung San Suu Kyi
729;When I was younger, my whole sense of self-worth was based on whether or not I was working, which was awful. And I had a baby at 20 years old, so it wasn't just about me. At around the age of 30 there was a stretch where I wasn't working - certainly not on anything I liked, anyway - and I started to do other things.;Kiefer Sutherland
730;I grew up on the golden age of children's TV.;Edward Norton
731;I do wish I could tell you my age but it's impossible. It keeps changing all the time.;Greer Garson
732;Pretend to be dumb, that's the only way to reach old age.;Friedrich Durrenmatt
733;The excitement of learning separates youth from old age. As long as you're learning you're not old.;Rosalyn S. Yalow
734;The history of my life must begin by the earliest circumstance which my memory can evoke it will therefore commence when I had attained the age of eight years and four months.;Giacomo Casanova
735;We are in an electronic technology age now and it's about time we put away the old stuff.;Monica Edwards
736;At the age of 20 I bought a used Fiat 127. This was the only one I could afford!;Carlos Ghosn
737;At my age, I don't think anyone is untouched by cancer.;Bryan Cranston
738;We try, we fail, we posture, we aspire, we pontificate - and then we age, shrink, die, and vanish.;George Saunders
739;My habit would have been to veer towards the dark - to prove I was something edgy, or maybe to prove that I was cognisant of the dark side. Now, with age and confidence, I can say, yeah, that's true, but I am cognisant of the fact that people can do things well. And can be more loving than you expect.;George Saunders
740;It is not possible to live in this age if you don't have a sense of many contradictory forces.;Rem Koolhaas
741;I'm very accepting with my age. It's like notches on your belt: experience, wisdom, and a different kind of beauty. There comes a day when you've become comfortable in your skin.;Zoe Saldana
742;You need some insecurity if you're an actor. It keeps the pot boiling. I haven't yet started to think about retiring. I was shocked when I heard about Paul Newman retiring at age 82. Most actors just fade away like old soldiers.;Al Pacino
743;It's hard for women at my age in Hollywood, but I'm not discouraged.;Jane Fonda
744;We're still living with the old paradigm of age as an arch. That's the old metaphor: You're born, you peak at midlife and decline into decrepitude.;Jane Fonda
745;We can no longer waste time and money. Every day, more than 2,000 girls in America, age 15-19, give birth - in the wealthiest, most educated nation in the world! Neither you nor I should accept this statistic.;Jane Fonda
746;The reality is sobering: in the United States one in three girls will become pregnant before age 20, totaling more than 750,000 girls per year.;Jane Fonda
747;I am hoping for peaceful transition into a new age. Obama has already played a great role in initiating us into that vision. If he were to be harmed in any way, it would spawn the birth of a million Obamas.;Saul Williams
748;I definitely don't look my age. So I actively look for roles that will help people change their perception of me.;Elijah Wood
749;The age thing really bugs me. Do people have more of a right to not like what I say because I'm 19?;Fiona Apple
750;There are a lot of downsides to being male. We age faster and die younger. But give us this: we're lifetime baby-making machines. Women's reproductive abilities start to wane when they're as young as 35. Men? We're good to go pretty much till we're dead.;Jeffrey Kluger
751;Older fatherhood isn't all bad: testosterone rates drop about 1% per year as men age, making them less reactive and more patient, and a professionally established middle-aged man is likely to have more time and money to devote to his kids than a twenty-something who's just getting started.;Jeffrey Kluger
752;Credit or debit cards, for starters, are nothing short of shoppers' Novocain. Even in the age of digital purchases and virtual money, we still attach a special value to dirty paper with pictures of presidents on it. Handing some of that to a cashier simply hurts more than handing over a little sliver of plastic.;Jeffrey Kluger
753;When it comes to raising civilized kids there are no hard rules, but there are two things on which most parents agree: Boys are generally wilder than girls, and adolescents are wilder than kids of any other age. If you've got an adolescent boy, you're in the sweet spot for trouble.;Jeffrey Kluger
754;It seems to me there is a change in what audiences want to see. I can only hope that's correct, because there's an awful lot of people of my age around now and we outnumber the others.;Maggie Smith
755;A truly great book should be read in youth, again in maturity and once more in old age, as a fine building should be seen by morning light, at noon and by moonlight.;Robertson Davies
756;In Hollywood, you play a mom, and the next thing you know, you're on 'The Golden Girls.' They age you so fast.;Gabrielle Union
757;A great age of literature is perhaps always a great age of translations.;Ezra Pound
758;I can't get my knickers in a twist about my age and ageing in an industry that caters to the ids of 14-year-olds.;Vera Farmiga
759;I was living on the wrong side of the tracks in Evanston, Illinois, in a home for boys. We had these Jackson 5 records. I really related to their voices - they were about my age, but they were doing it.;Eddie Vedder
760;By age seven, I used to comb my hair for performances, just pull my hair up into a bun. Granted, it wasn't a very intricate hairstyle. Still, to be that responsible and disciplined at age seven is unusual.;Janet Jackson
761;It begins and ends with money. It's absurd in this day and age when we need so much money for education, health, for people, that a $100 million dollars can be spent on a film. It's obscene.;Kathleen Turner
762;I am at that age when you panic at the slightest thing.;Rupert Everett
763;Being gay and being a woman has one big thing in common, which is that we both become invisible after the age of 42. Who wants a gay 50-year-old? No one, let me tell you.;Rupert Everett
764;I began to speak well at a very advanced age - 15, 16, 17 years old. It was psychological: the trauma of war, my family and growing up on my own. I was more or less a street kid.;Roberto Cavalli
765;We Jews have a special attachment to the Book. The study of page after page in tomes yellowing with age was obligatory.;Theodore Bikel
766;Having come to live in this age is as though one were to have entered another country. Learn its language or risk being left out.;Theodore Bikel
767;I don't want to look at other people my age in leather. Why would I put it on?;George Michael
768;I believe that the fight against crime starts in the home. Parents must take responsibility for their children and show them love and guidance from an early age so they learn to respect the rights of others.;Blanche Lincoln
769;At an early age, I started my own paper route. Once I saw how you could service people and do a good job and get paid for it, I just wanted to be the best I could be in whatever I did.;Puff Daddy
770;Middle age: when you begin to exchange your emotions for symptoms.;Irvin S. Cobb
771;Brain power improves by brain use, just as our bodily strength grows with exercise. And there is no doubt that a large proportion of the female population, from school days to late middle age, now have very complicated lives indeed.;A. N. Wilson
772;I began to understand my sensations, to know what I wanted, at around the age of forty - but only vaguely.;Camille Pissarro
773;I grew up on a farm in a small town where you do or say one thing and everybody knows about it. You see it happen, there's always the town gossip - 'Oh did you hear about so and so, or did you hear what went on in this household?' So I learned at a very young age just to keep my mouth shut.;Garrett Hedlund
774;If you love somebody, you love them. My parents had a 25-year age gap between them and my mum was the breadwinner, my dad the house husband. I'm a strong believer that a good relationship can work, whatever the situation.;Katherine Jenkins
775;The Border Ballads, for instance, and the Robin Hood Ballads, clearly suppose a state of society which is nothing but a very circumscribed and not very important heroic age.;Lascelles Abercrombie
776;By the age of 9 or 10, I knew that I had to cut my own cloth and make my own way.;John le Carre
777;When you're my age and you see a story, you better go for it pretty quickly. I'd just like to get a few more novels under my belt.;John le Carre
778;Catholics and evangelicals need to remain allied, and in solidarity, against the increasingly aggressive secularism of our age.;Gary Bauer
779;I don't know whether it's age or maturity, but I certainly find myself committed more and more to the looser forms of Western democracy at any price.;John le Carre
780;Losing both parents at a young age gave me a sense that you can't really control life - so you'd better live it while it's here. I stopped believing in a storybook existence a long time ago. All you can do is push in a direction and see what comes of it.;Jon Hamm
781;Old age is not a disease - it is strength and survivorship, triumph over all kinds of vicissitudes and disappointments, trials and illnesses.;Maggie Kuhn
782;I was a very sickly kid. While I was in the hospital at age 7, my Dad brought me a stack of comic books to keep me occupied. I was hooked.;Len Wein
783;Study until twenty-five, investigation until forty, profession until sixty, at which age I would have him retired on a double allowance.;Thomas Moore
784;In the digital age of 'overnight' success stories such as Facebook, the hard slog is easily overlooked.;James Dyson
785;The greatest writers of this age... are aware of the mystery of our existence.;J. B. Priestley
786;The chief role of the universities is to prolong adolescence into middle age, at which point early retirement ensures that we lack the means or the will to enforce significant change.;J. G. Ballard
787;My grandparents got married at a very young age, and a lot of what I think about marriage is based on their relationship. I watched them over the years and saw how they dealt with everything together, as a team.;Kyle Chandler
788;My grandparents got married at a very young age, and a lot of what I think about marriage is based on their relationship.;Kyle Chandler
789;At my age it is unseemly to be pessimistic.;Naguib Mahfouz
790;I don't know why people are so obsessed with age anyway. I mean, 90 is the new 70 70 is the new 50 and 50 is the new 40 so the whole act-your-age thing? Only up to a point.;Joan Collins
791;I don't look my age, I don't feel my age and I don't act my age. To me age is just a number.;Joan Collins
792;I believe that parents need to make nutrition education a priority in their home environment. It's crucial for good health and longevity to instill in your children sound eating habits from an early age.;Cat Cora
793;Most poetry in the modern age has retreated to the private sphere, turning its back on the political realm.;Terry Eagleton
794;We incorporated new tastes and flavors into our kids' diets from a very early age, which helped to develop their palates and prevented them from becoming picky eaters. We don't buy junk food and give them options of fresh fruit, yogurt, raw almonds, or dried whole grain cereals for snack time.;Cat Cora
795;Filth and old age, I'm sure you will agree, are powerful wardens upon chastity.;Geoffrey Chaucer
796;It has been claimed at times that our modern age of technology facilitates dictatorship.;Henry A. Wallace
797;Working on the 'Ice Age' movies, I'm really proud to be in them.;Seann William Scott
